hash;problem;result;/raid/iser/log-glucose4/;/raid/iser/log-candy-halloween;/raid/iser/log-candy-halloween-lrb;/raid/iser/log-candy-deepfish;/raid/iser/log-candy-deepfish-lrb;/raid/iser/log-candy-jesus;/raid/iser/log-candy-buddha;/raid/iser/log-candy-buddha-no-sort-watches;/raid/iser/log-candy-adam;/raid/iser/log-candy-eva;/raid/iser/log-candy-eva-ts-ca;/raid/iser/log-candy-eva-ts-ca-pr;/raid/iser/log-candy-cain;/raid/iser/log-candy-cain-ts-ca;/raid/iser/log-horde-c2;/raid/iser/log-horde-c2-d0-e1
338bd899418ef1f199c5adba8da704d8;apn-sbox6-cut4-helpbox29.cnf;SAT;5000;5000;5000;5000;5000;4358;5000;5000;5000;5000;5000;5000;4891;5000;5000;-1
88b5a4a2f6e4971ba0f9e819ce62d7e2;exams0.04_2017_9.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
bac8324b89714d6f0b30962023b33c67;Karatsuba7654321x1234567.cnf;SAT;628;181;107;194;102;298;2213;1976;2193;2608;1691;361;2596;1830;136;-1
6dacf620c514b191a4f26fdfef9ca637;apn-sbox6-cut4-helpbox23.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
0b402294541ba988b00076369a0f3da8;ex175_18.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
b8382f1559a7a49240b36199e6919378;udiv48prop.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
36d43bb051c92e1a25f10c813b4effda;20180326_095804936_p_cnf_320_1120.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
7cf81c641d76f8a943772c0984d643ad;queen15_15.col.15.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
8f66b6c79b4396578587481ac30143c9;ecarev-110-4099-22-30-7.cnf;SAT;309;933;2617;891;2522;827;1016;848;906;766;976;1571;800;1005;941;-1
61ac0f84eeda08f32fb13fd5a50841a0;course0.12_2018_3_5.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
5e16e45caa832f33561d043ad0731a1b;sted5_0x0-70.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
7edb32763188f217f6081a8f6df5a4db;bx-d-4-7-8.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
11daeacf5cec4f02c18a09eebc1947a0;gto_p50c291.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
ed90361a416ebb0c142453a9d63c939e;satcoin-genesis-SAT-512.cnf;SAT;5000;147;153;138;135;147;5000;5000;5000;101;5000;5000;112;5000;155;-1
5cdb478391a0d55aec039610228a17b2;course0.12_2018_3_1.cnf;SAT;1407;3529;5000;3177;5000;5000;5000;2285;5000;4341;5000;4312;4516;5000;5000;-1
d9f086e06d3e97a9b02c8e083e35802d;commutativity3.c.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
766394514a0059dd86d3a368aa9d85e6;huck.col.11.cnf;UNSAT;237;100;132;100;120;89;148;331;148;145;98;316;148;102;121;-1
69994ca7f868e845fd73f6159c26ceba;TimetableCNFEncoding_9_UNKNOWN.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
e9341c4787d538d9617529691c8ae215;cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf;UNSAT;3193;5000;437;5000;413;955;2653;5000;2543;5000;5000;5000;5000;5000;2378;-1
2db4c530b74240ee88e02f30073ed4d2;TimetableCNFEncoding_6_UNKNOWN.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
766f928fcfc6fdd9c612744be8ba7fa0;le450_25c.col.25.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
efba46f5576e04b2a00388714e85f9dd;course0.16_2018_3_5.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
881f787cbbd41dd9d07624520e3141e6;Cake_9_20.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
74078895ef3dfe584a24cf56d98f982b;cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf;SAT;355;442;28;419;26;467;334;149;331;37;195;143;39;217;55;-1
aed010ba47a74337f591a4b870ba40f4;Nb51T6.cnf;UNSAT;4326;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
c84f41c85ffc3c933f5099011f024ae3;apn-sbox6-cut4-helpbox28.cnf;SAT;5000;5000;5000;5000;5000;5000;435;5000;382;395;5000;5000;418;5000;2018;-1
23ac19f6a16fcb2f3ba66b360bbd4a20;course0.2_2018_3_5.cnf;SAT;1125;2131;2094;1377;1916;1898;2040;1842;2037;986;1851;2318;960;1999;1470;-1
9e5a535a058032df95cc8a6e94ecc190;20180321_140824282_p_cnf_320_1120.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
c77ecc87f2e2354472cee29904754ac6;ecarev-110-4099-22-30-4.cnf;SAT;413;1039;5000;973;4833;1590;1203;1253;1170;1148;1092;2589;1088;1221;1368;-1
08329843e2f3bb580caccd19045095b1;cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf;UNSAT;2321;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
e598b42639c8eb2ee9d5675c28377373;20180326_095801070_p_cnf_320_1120.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
49fffd54fedc17d79c2cbed4a3564ff9;a_rphp098_04.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
863e41e3a866cc65bbc0912ebef7684a;e_rphp096_04.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
b1c62c4de56ddbf79a136aa2ad4cf140;Nb8T60.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
5e24333564113f9ff5c41af056539265;20180326_095805836_p_cnf_320_1120.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
79511ceeafcb525d075d4b2bc67371ff;sdiv17prop.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
8f03368754c4e17c62094751c7a34142;mod8-bbd-zbd.rules.7-7.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
5b14f21d2b328042d37e4c36c4312ce4;CNP-5-800.cnf;SAT;3692;5000;512;5000;612;5000;5000;5000;5000;5000;5000;5000;5000;5000;2308;-1
cde7f41b87456c13d44ee607b8c8e2b6;T105.2.0.cnf;UNSAT;1149;5000;5000;3941;5000;4136;3755;3790;4040;3971;4000;1925;3842;4684;1813;-1
2512394bd90a6f8384a50638036668cd;20180322_164241842_p_cnf_320_1120.cnf;SAT;5000;5000;5000;5000;5000;4984;5000;4857;5000;5000;5000;5000;5000;5000;5000;-1
3136a18485a1cdb23cf47a20aaa5f98d;T125.2.0.cnf;UNSAT;723;4642;5000;3564;5000;3372;3310;3844;3257;3787;3804;1240;4077;4668;1581;-1
bd324a77cf9eaaa473fa77746145a200;ae_rphp055_04.cnf;UNSAT;344;618;5000;644;5000;642;614;716;623;605;663;1383;618;764;655;-1
fc349a14c3addeb4a74bdccddb1f57c6;apn-sbox6-cut5-helpbox23.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
ae83a0ba0284e1075b321e0ef9d9ecad;sqrt_Householder_pseudoconstant_true-unreach-call.c.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
f85522eb08740a59c36d87a25f6c4727;udiv45prop.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
8e8a0a88147ef4cc9b11512e07c97a73;le450_25b.col.25.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
eb654c4fe48ca9f779d45b0d3cb0ba25;satcoin-genesis-SAT-7.cnf;SAT;5000;6;6;6;5;6;5;5;6;5;6;51;5;5;6;-1
e439d3355ed568931d3d888423cf2018;20180322_164245263_p_cnf_320_1120.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
9de543bb0f07aa8727681a9c492904ea;by-alt-5-7.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
59d5a771ced4e825d594bd7f17c82728;ecarev-110-1031-23-40-5.cnf;SAT;313;1261;5000;1261;5000;1107;662;859;634;1184;687;1661;1239;768;1088;-1
607818e0869aa0bd25e2b80864fc70de;ecarev-110-4099-22-30-2.cnf;SAT;340;962;4776;961;4656;906;932;837;947;939;793;1462;893;854;1164;-1
41feeaca1f4696f246b789ebb22a85c9;20180322_164226661_p_cnf_320_1120.cnf;SAT;5000;5000;5000;5000;5000;4167;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
fc69a63136ce851eb88dddba283ce11d;by-X-2-7-100.cnf;UNSAT;1554;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
2aeb5a29f7c8ec261391b530ac8989a1;mod8-abd-yad.rules.7-7.cnf;SAT;51;583;5000;468;5000;457;473;836;398;455;419;281;408;472;177;-1
f1d7d4f070a8a89dc0a99b212d0dc789;le450_25a.col.25.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
